V1 V2 V3 rel12 rel13 rel23 age1 age2 age3 sex1 sex2 sex3 Twin1 Twin2 Sib relT relS zyg
-1.1335079e+00 -1.4244425e+00 -2.1926144e+00  1.0000000e+00  4.4366135e-01  4.4366135e-01  2.5210897e+01  2.8101086e+01  2.6273292e+01  1.0000000e+00  1.0000000e+00  0.0000000e+00 -1.0082970e+00 -1.2963414e+00 -2.1663411e+00  1.0000000e+00  5.0000000e-01  1.0000000e+00
 3.9156590e-01  4.5767521e-01 -6.2703475e-01  1.0000000e+00  5.0979372e-01  5.0979372e-01  2.5385168e+01  3.6743099e+01  2.4376697e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  4.1695107e-01  4.9441831e-01 -6.0265805e-01  1.0000000e+00  5.0000000e-01  1.0000000e+00
-1.2518135e-01 -1.4856257e+00 -9.2275974e-01  1.0000000e+00  4.9094429e-01  4.9094429e-01  2.0988272e+01  2.8018612e+01  2.6970824e+01  1.0000000e+00  1.0000000e+00  0.0000000e+00 -4.1930784e-03 -1.3576070e+00 -8.9578892e-01  1.0000000e+00  5.0000000e-01  1.0000000e+00
-1.7752528e-01 -6.7422151e-01 -7.6409998e-01  1.0000000e+00  5.3544920e-01  5.3544920e-01  3.2568245e+01  2.2842774e+01  2.1723160e+01  1.0000000e+00  1.0000000e+00  0.0000000e+00 -4.4957035e-02 -5.5137874e-01 -7.4237682e-01  1.0000000e+00  5.0000000e-01  1.0000000e+00
 6.0813693e-01  1.5930969e+00  1.0369481e+00  1.0000000e+00  4.9508800e-01  4.9508800e-01  3.9067061e+01  2.4788631e+01  2.5735815e+01  0.0000000e+00  0.0000000e+00  1.0000000e+00  6.4720399e-01  1.6178855e+00  1.1626839e+00  1.0000000e+00  5.0000000e-01  1.0000000e+00
 8.3999024e-01 -6.2191017e-01  6.2134299e-01  1.0000000e+00  5.3889471e-01  5.3889471e-01  3.1051333e+01  2.2610408e+01  1.9888929e+01  1.0000000e+00  1.0000000e+00  0.0000000e+00  9.7104157e-01 -4.9929976e-01  6.4123192e-01  1.0000000e+00  5.0000000e-01  1.0000000e+00
-2.8291672e-01 -4.8289569e-02 -8.8946646e-01  1.0000000e+00  5.4054182e-01  5.4054182e-01  2.3185739e+01  2.4727797e+01  1.6378309e+01  0.0000000e+00  0.0000000e+00  1.0000000e+00 -2.5973098e-01 -2.3561772e-02 -7.7308815e-01  1.0000000e+00  5.0000000e-01  1.0000000e+00
-7.2591958e-01 -1.0837909e+00  1.2995239e+00  1.0000000e+00  4.9122270e-01  4.9122270e-01  2.9004311e+01  3.1485360e+01  2.6881578e+01  1.0000000e+00  1.0000000e+00  0.0000000e+00 -5.9691527e-01 -9.5230558e-01  1.3264055e+00  1.0000000e+00  5.0000000e-01  1.0000000e+00
-9.8372004e-01 -1.1877621e-01  6.1845956e-01  1.0000000e+00  4.8008892e-01  4.8008892e-01  3.2200369e+01  2.6935048e+01  2.1856521e+01  0.0000000e+00  0.0000000e+00  1.0000000e+00 -9.5151967e-01 -9.1841162e-02  7.4031608e-01  1.0000000e+00  5.0000000e-01  1.0000000e+00
-6.5914231e-01 -6.5272662e-03  5.7514109e-01  1.0000000e+00  5.4695348e-01  5.4695348e-01  2.9491678e+01  3.2169174e+01  2.4444092e+01  0.0000000e+00  0.0000000e+00  1.0000000e+00 -6.2965063e-01  2.5641908e-02  6.9958518e-01  1.0000000e+00  5.0000000e-01  1.0000000e+00
 7.0351474e-01  7.6085793e-01 -1.7813405e+00  1.0000000e+00  5.3022036e-01  5.3022036e-01  2.5773446e+01  2.5404033e+01  3.3791807e+01  1.0000000e+00  1.0000000e+00  1.0000000e+00  8.2928819e-01  8.8626196e-01 -1.6475487e+00  1.0000000e+00  5.0000000e-01  1.0000000e+00
-5.2558391e-01  3.0083593e-01 -6.2779424e-01  1.0000000e+00  5.3910644e-01  5.3910644e-01  2.8501338e+01  3.5871227e+01  2.6362315e+01  1.0000000e+00  1.0000000e+00  0.0000000e+00 -3.9708257e-01  4.3670716e-01 -6.0143193e-01  1.0000000e+00  5.0000000e-01  1.0000000e+00
 7.5131126e-01  1.0815047e+00  5.4236499e-01  1.0000000e+00  4.9928032e-01  4.9928032e-01  2.6946733e+01  3.4439574e+01  2.1851599e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  7.7825799e-01  1.1159443e+00  5.6421659e-01  1.0000000e+00  5.0000000e-01  1.0000000e+00
 1.0391582e+00  1.6885595e+00 -1.2292737e-01  1.0000000e+00  4.6977355e-01  4.6977355e-01  2.1296553e+01  2.8328881e+01  3.2025039e+01  0.0000000e+00  0.0000000e+00  0.0000000e+00  1.0604548e+00  1.7168884e+00 -9.0902331e-02  1.0000000e+00  5.0000000e-01  1.0000000e+00
 8.8988487e-01  1.5949871e+00  1.3607682e+00  1.0000000e+00  4.5569483e-01  4.5569483e-01  2.0758475e+01  3.5547193e+01  2.5875248e+01  0.0000000e+00  0.0000000e+00  1.0000000e+00  9.1064334e-01  1.6305343e+00  1.4866434e+00  1.0000000e+00  5.0000000e-01  1.0000000e+00
-9.7596326e-01 -3.1758253e-03 -1.2723126e+00  1.0000000e+00  5.1642987e-01  5.1642987e-01  2.2222596e+01  2.0021090e+01  3.4011780e+01  0.0000000e+00  0.0000000e+00  1.0000000e+00 -9.5374066e-01  1.6845265e-02 -1.1383008e+00  1.0000000e+00  5.0000000e-01  1.0000000e+00
